feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
2015,163.0,-1.4507263242108586,0.5,332,-0.018069660530875612,170,-9,0.1,50.33908045977012,engine_ignition
2014,108.45138364985092,2.23367933874646,0.4,425,-0.8497648690328464,173,16,0.1,44.367816091954026,break_bug
2010,167.7380255501655,-8.024895364755052,-0.8,50,0.1340240661808453,171,-9,0.1,44.90229885057471,engine_check
2018,167.0,-0.2013626411256674,2.0,224,-0.9850595246792675,173,-2,0.52,44.770114942528735,engine_check
2019,183.0,14.666232551844782,0.8,351,0.6064982402693239,170,13,0.1,45.241379310344826,another_bug
2016,170.73754945808653,8.27748905748902,-0.1,256,-0.04899570116569078,172,-8,0.0,49.235632183908045,electro_bug
2009,179.8871180142217,9.092697805122928,-2.0,441,-0.19745103155759566,173,11,0.1,50.39080459770115,engine_fuel
2010,200.0,6.80061903337613,-0.2,421,-0.7690528078456144,174,-11,0.0,50.61494252873563,electro_bug
2009,183.63738514346105,2.2050280514886915,-0.0,476,-0.8675819660364124,174,-14,0.0,48.66091954022989,electro_bug
2016,175.564390569221,3.467644253898232,-0.2,205,0.9323633324730479,170,10,0.1,50.672413793103445,engine_fuel
2016,176.71990187442333,-20.24484879116773,0.3,71,-1.5237428349663642,171,-8,0.1,49.88505747126437,engine_fuel
2010,118.80361795436316,-2.299042299774664,-1.3,453,0.4652676067721454,173,-19,0.1,44.47701149425287,gear_stick
2012,98.64778631813545,3.1653155458589435,-0.7,374,-1.2200857932478315,172,-6,0.46,44.51724137931034,gear_stick
2019,110.58112161024386,0.1232844701889352,-0.6,289,0.1594684144376553,170,-9,0.1,44.39080459770115,gear_stick
2013,149.23264132703434,-2.1817693726205944,0.5,267,-0.6954196543338286,171,-16,0.56,43.66091954022989,wheel_shake
2012,155.40621382525953,-6.305704193299404,0.0,396,1.5162497734193843,170,13,0.1,45.89655172413793,another_bug
2018,194.4307987695872,-4.498772548383304,-0.5,373,0.4315334785915829,173,14,0.0,50.47126436781609,electro_bug
2013,120.66990761041804,10.95277361805318,0.4,326,-0.03357826572368441,171,-6,0.25,44.0,wheel_shake
2016,200.0,-6.745646170240439,-0.1,337,0.19785347952785518,172,9,0.1,45.20114942528736,another_bug
2015,101.68913597415798,25.254952919759912,-0.7,202,-0.05591350205486029,173,18,0.17,43.7816091954023,break_bug
2010,188.67163067281936,-2.66748255654623,-0.7,489,-0.17636269306245267,170,17,0.1,49.66091954022989,engine_ignition
2015,99.5495045751341,10.79807420765961,1.7,430,-1.1673932249588235,172,7,0.1,44.35632183908046,gear_stick
2012,191.93403535267203,9.167280377301086,-0.7,192,-0.5459891430670105,173,-2,0.1,50.85057471264368,engine_ignition
2015,166.58752001594092,-14.842311788634184,-1.0,150,0.7546733410751487,172,16,0.1,48.94827586206897,engine_fuel
2014,180.7101707273389,5.577114048923683,-0.3,456,-0.025251624298867764,172,2,0.1,50.05172413793103,engine_overheat
2012,190.1842368599315,-5.657526637499186,0.2,57,-0.5259111206094603,170,-10,0.1,51.78735632183908,engine_overheat
2009,171.0,7.189237264966637,-1.5,393,0.8153563616035391,170,-7,0.1,44.798850574712645,engine_check
2010,111.65740562735644,4.5558458274788585,0.8,255,1.4245800712666272,173,-4,0.63,44.06896551724138,gear_stick
2011,171.49564153437944,-2.613157491494204,-1.5,204,0.17451806949680806,174,16,0.1,50.206896551724135,engine_fuel
2011,188.59741134335093,-16.838218597902596,0.9,133,0.386986298393111,153,-13,0.0,48.85057471264368,electro_bug
2018,175.79822383329474,14.213791402691204,0.3,92,0.00029655427454969134,169,4,0.1,50.2816091954023,engine_fuel
2017,118.59316915833226,12.352187365266994,-1.2,320,-0.3963835145556656,174,19,0.32,44.22413793103448,break_bug
2015,123.34376642323302,-6.401622479255165,-1.3,262,-0.500465395119397,172,-4,0.1,43.293103448275865,break_bug
2019,178.0,10.487676017684048,1.7,218,0.5019421879571918,171,15,0.1,44.06896551724138,another_bug
2019,112.28255124012205,-5.478181149613526,0.6,60,-0.37257085426537084,173,17,0.53,43.87356321839081,break_bug
2016,105.20651818438624,-5.9161995716115685,0.6,317,0.5252798684907828,173,15,0.52,43.26436781609196,break_bug
2017,185.8643864553104,4.640040955406628,-1.0,339,-0.9265102653558246,172,4,0.63,43.96551724137931,another_bug
2010,151.0,8.191278156689052,0.2,283,1.8598267617926094,169,-15,0.38,44.44827586206897,engine_check
2010,128.0,-0.6065382729855183,0.7,274,-1.2017356491486368,174,15,0.1,44.810344827586206,break_bug
2011,171.61916746407172,-5.69377565786039,-0.8,56,0.3270118250193118,173,14,0.1,51.54022988505747,engine_fuel
2010,182.9859433105412,-3.1049385910310927,0.9,198,-0.07638101867283556,170,-5,0.1,49.53448275862069,engine_fuel
2012,108.19316038700504,18.91741472488484,-0.7,91,0.450666187966131,171,17,0.1,45.5,gear_stick
2014,185.13351393143623,7.704849512398216,-0.2,257,-0.8344409344944073,172,15,0.1,48.5,engine_overheat
2017,161.9628201981329,13.949612651761782,0.3,484,-0.7491066967902441,170,-6,0.1,50.14942528735632,engine_fuel
2018,184.7762604991148,-2.3043358704334302,0.7,171,0.09998355681474816,171,11,0.1,51.66091954022989,engine_overheat
2011,119.49541842695204,1.3588261622019928,-1.4,242,0.6489310560329222,169,-9,0.1,44.0919540229885,wheel_shake
2017,186.32995321060744,-3.0447094207061447,-1.9,221,0.5596990642209763,172,-3,0.1,51.66666666666666,engine_overheat
2014,94.85281121983088,1.158191972060948,-1.2,362,0.08207330627972995,170,5,0.1,44.11494252873563,gear_stick
2016,168.50809500874198,22.107655438496405,-0.6,417,0.6261465078264342,172,-11,0.1,48.810344827586206,engine_fuel
2014,188.0051985181376,-2.432630040019675,-1.6,414,-0.8467077790076957,170,-7,0.1,48.7816091954023,engine_overheat
2012,193.5282516594305,-2.500350930649666,1.1,434,-2.2592370135613984,174,14,0.1,49.689655172413794,engine_ignition
2011,119.0,27.49516418889398,0.5,425,-0.24381172269372886,173,18,0.1,44.63218390804597,wheel_shake
2018,193.3942694827751,4.081977730925205,-0.3,122,0.46487922081604455,154,8,0.1,49.0,engine_overheat
2018,182.09779259312808,8.720855636558586,0.4,488,0.3746847839326906,173,5,0.0,49.47126436781609,electro_bug
2013,158.0,6.379867055084093,-0.7,396,-0.004443894550369473,169,5,0.1,45.55172413793103,engine_check
2011,133.3321951547292,-6.312684037213213,0.6,58,0.4938546089339526,172,-2,0.1,45.45402298850575,wheel_shake
2012,169.66185783781327,10.110162208116368,1.9,346,0.005460377573239599,170,-1,0.1,48.87356321839081,engine_fuel
2016,175.00337229479456,16.848014521977326,-1.7,259,1.3085625306211315,173,-5,0.1,51.206896551724135,engine_fuel
2012,185.0,4.7517923403201845,1.2,348,-0.9276241603138223,173,8,0.1,45.56896551724138,another_bug
2009,192.5319751782041,-9.830758280631033,-2.1,438,1.0312349050740015,173,2,0.1,49.95977011494253,engine_ignition
2016,184.9905588172024,-17.539413433430845,-0.1,482,-1.5452451085095624,170,-9,0.1,50.5632183908046,engine_overheat
2015,154.87538931035277,1.4601071928037173,0.1,330,-0.13418400616679965,170,-6,0.36,44.35057471264368,engine_check
2019,181.876682668727,-17.384127470242873,-0.6,205,-1.6968080880927259,171,16,0.1,50.32183908045977,engine_overheat
2011,195.0,-28.284490362949057,-0.5,149,0.14165381825101833,173,-11,0.1,49.47701149425287,engine_overheat
2017,157.02620014633936,14.497785673430805,-0.5,181,-1.6714672579336196,172,-9,0.1,44.44827586206897,engine_check
2011,164.28389768688672,-13.605639623007146,0.2,68,0.4080437431961789,172,-8,0.1,49.810344827586206,engine_fuel
2014,170.4533216582715,-14.056257485325688,-1.4,492,1.0413219796935618,171,-9,0.1,49.293103448275865,engine_fuel
2013,175.26082919771824,0.771634445147814,-0.8,237,-0.17623795001202722,172,-11,0.1,50.03448275862069,engine_fuel
2015,182.17014654129468,-19.819552928610044,0.2,426,0.46239603444059485,173,-14,0.0,51.47701149425287,electro_bug
2012,152.0,20.40900056275958,-0.5,303,-0.988689718846925,169,8,0.14,44.98850574712644,engine_check
